"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OPTN",1.33592451295814e-164,0.422146658372263,0.35,0.107,2.87437518208074e-160
"CDKN1A",8.93973236154742e-69,0.422141497107897,0.406,0.212,1.92347281491054e-64
"S100A4",2.55917173416317e-41,0.422032782513375,0.466,0.32,5.50631390322547e-37
"ACTG1",6.77308176666613e-106,0.421704533214884,1,1,1.45729627291588e-101
"SNAI2",6.46711666102362e-89,0.420428659728153,0.354,0.158,1.39146482078584e-84
"STK17A",4.84268667829648e-72,0.419662081746742,0.608,0.409,1.04195246570227e-67
"HSPB8",1.92083668935489e-103,0.41854494077103,0.36,0.15,4.13287222081598e-99
"CD151",5.80956866664552e-74,0.418422285906193,0.787,0.641,1.24998679431545e-69
"EZR",4.7886927042673e-62,0.416228931083226,0.892,0.825,1.03033512225015e-57
"LMCD1",2.96627702429817e-50,0.415273417770386,0.312,0.168,6.38224164547995e-46
